cells,taxagroup,T2Mexp
9642,mammals,0
9643,mammals,0
9644,mammals,0
9645,mammals,0
9646,mammals,0
9647,mammals,0
9648,mammals,0
9649,mammals,0
9650,mammals,0
9651,mammals,0
9652,mammals,0
9653,mammals,0
9654,mammals,0
9655,mammals,0
9656,mammals,0
9657,mammals,0
9658,mammals,0
9659,mammals,0
9660,mammals,0
9661,mammals,0
9662,mammals,0
9663,mammals,0
9664,mammals,0
9665,mammals,0
9666,mammals,0
9667,mammals,0
9668,mammals,0
9669,mammals,0
9670,mammals,0
10276,birds,0
10276,mammals,0
10277,birds,0
10277,mammals,0
10278,birds,0
10278,mammals,0
10279,birds,0
10279,mammals,0
10280,birds,0
10280,mammals,0
10281,birds,0
10281,mammals,0
10282,birds,0
10282,mammals,0
10283,birds,0
10283,mammals,0
10284,birds,0
10284,mammals,0
10285,birds,0
10285,mammals,0
10286,birds,0
10286,mammals,0
10287,birds,0
10287,mammals,0
10288,birds,0
10288,mammals,0
10289,birds,0
10289,mammals,0
10290,birds,0
10290,mammals,0
10291,birds,0
10291,mammals,0
10292,birds,0
10292,mammals,0
10293,birds,0
10293,mammals,0
10294,birds,0
10294,mammals,0
10295,birds,0
10295,mammals,0
10296,birds,0
10296,mammals,0
10297,birds,0
10297,mammals,0
10298,birds,0
10298,mammals,0
10299,birds,0
10299,mammals,0
10300,birds,0
10300,mammals,0
10301,birds,0
10301,mammals,0
10302,birds,0
10302,mammals,0
10303,birds,0
10303,mammals,0
10304,birds,0
10304,mammals,0
10305,birds,0
10305,mammals,0
10306,birds,0
10306,mammals,0
10307,birds,0
10307,mammals,0
10308,birds,0
10308,mammals,0
10309,birds,0
10309,mammals,0
10310,birds,0
10310,mammals,0
10311,birds,0
10311,mammals,0
10312,birds,0
10312,mammals,0
10313,birds,0
10313,mammals,0
10314,birds,0
10314,mammals,0
10315,birds,0
10315,mammals,0
10349,mammals,0
10350,mammals,0
10351,mammals,0
10352,mammals,0
10353,mammals,0
10354,mammals,0
10355,mammals,0
10356,mammals,0
10357,mammals,0
10358,mammals,0
10359,mammals,0
10360,mammals,0
10361,mammals,0
10362,mammals,0
10363,mammals,0
10364,mammals,0
10365,mammals,0
10366,mammals,0
10367,mammals,0
10368,mammals,0
10369,mammals,0
10370,mammals,0
10371,mammals,0
10372,mammals,0
10373,mammals,0
10374,mammals,0
10375,mammals,0
10376,mammals,0
10377,mammals,0
10378,mammals,0
10379,mammals,0
10380,mammals,0
10381,mammals,0
10382,mammals,0
10383,mammals,0
10384,mammals,0
10385,mammals,0
10386,mammals,0
10387,mammals,0
10388,mammals,0
10389,mammals,0
10390,mammals,0
10391,mammals,0
10392,mammals,0
10393,mammals,0
10394,mammals,0
10395,mammals,0
10396,mammals,0
10397,mammals,0
10398,mammals,0
10986,birds,0
10986,mammals,0
10987,birds,0
10987,mammals,0
10988,birds,0
10988,mammals,0
10989,birds,0
10989,mammals,0
10990,birds,0
10990,mammals,0
10991,birds,0
10991,mammals,0
10992,birds,0
10992,mammals,0
10993,birds,0
10993,mammals,0
10994,birds,0
10994,mammals,0
10995,birds,0
10995,mammals,0
10996,birds,0
10996,mammals,0
10997,birds,0
10997,mammals,0
10998,birds,0
10998,mammals,0
10999,birds,0
10999,mammals,0
11000,birds,0
11000,mammals,0
11001,birds,0
11001,mammals,0
11002,birds,0
11002,mammals,0
11003,birds,0
11003,mammals,0
11004,birds,0
11004,mammals,0
11005,birds,0
11005,mammals,0
11006,birds,0
11006,mammals,0
11007,birds,0
11007,mammals,0
11008,birds,0
11008,mammals,0
11009,birds,0
11009,mammals,0
11010,birds,0
11010,mammals,0
11011,birds,0
11011,mammals,0
11012,birds,0
11012,mammals,0
11013,birds,0
11013,mammals,0
11014,birds,0
11014,mammals,0
11015,birds,0
11015,mammals,0
11016,birds,0
11016,mammals,0
11017,birds,0
11017,mammals,0
11018,birds,0
11018,mammals,0
11019,birds,0
11019,mammals,0
11020,birds,0
11020,mammals,0
11021,birds,0
11021,mammals,0
11022,birds,0
11022,mammals,0
11023,birds,0
11023,mammals,0
11024,birds,0
11024,mammals,0
11025,birds,0
11025,mammals,0
11026,birds,0
11026,mammals,0
11027,birds,0
11027,mammals,0
11028,birds,0
11028,mammals,0
11029,birds,0
11029,mammals,0
11030,birds,0
11030,mammals,0
11031,birds,0
11031,mammals,0
11032,birds,0
11032,mammals,0
11033,birds,0
11033,mammals,0
11034,birds,0
11034,mammals,0
11035,birds,0
11035,mammals,0
11058,mammals,0
11059,mammals,0
11060,mammals,0
11061,mammals,0
11062,mammals,0
11067,mammals,0
11068,mammals,0
11069,mammals,0
11070,mammals,0
11071,mammals,0
11072,mammals,0
11073,mammals,0
11074,mammals,0
11075,mammals,0
11076,mammals,0
11077,mammals,0
11078,mammals,0
11079,mammals,0
11080,mammals,0
11081,mammals,0
11082,mammals,0
11083,mammals,0
11084,mammals,0
11085,mammals,0
11086,mammals,0
11087,mammals,0
11088,mammals,0
11089,mammals,0
11090,mammals,0
11091,mammals,0
11092,mammals,0
11093,mammals,0
11094,mammals,0
11095,mammals,0
11096,mammals,0
11097,mammals,0
11098,mammals,0
11099,mammals,0
11100,mammals,0
11101,mammals,0
11102,mammals,0
11698,birds,0
11698,mammals,0
11699,birds,0
11699,mammals,0
11700,birds,0
11700,mammals,0
11701,birds,0
11701,mammals,0
11702,birds,0
11702,mammals,0
11703,birds,0
11703,mammals,0
11704,birds,0
11704,mammals,0
11705,birds,0
11705,mammals,0
11706,birds,0
11706,mammals,0
11707,birds,0
11707,mammals,0
11708,birds,0
11708,mammals,0
11709,birds,0
11709,mammals,0
11710,birds,0
11710,mammals,0
11711,birds,0
11711,mammals,0
11712,birds,0
11712,mammals,0
11713,birds,0
11713,mammals,0
11714,birds,0
11714,mammals,0
11715,birds,0
11715,mammals,0
11716,birds,0
11716,mammals,0
11717,birds,0
11717,mammals,0
11718,birds,0
11718,mammals,0
11719,birds,0
11719,mammals,0
11720,birds,0
11720,mammals,0
11721,birds,0
11721,mammals,0
11722,birds,0
11722,mammals,0
11723,birds,0
11723,mammals,0
11724,birds,0
11724,mammals,0
11725,birds,0
11725,mammals,0
11726,birds,0
11726,mammals,0
11727,birds,0
11727,mammals,0
11728,birds,0
11728,mammals,0
11729,birds,0
11729,mammals,0
11730,birds,0
11730,mammals,0
11731,birds,0
11731,mammals,0
11732,birds,0
11732,mammals,0
11733,birds,0
11733,mammals,0
11734,birds,0
11734,mammals,0
11735,birds,0
11735,mammals,0
11736,birds,0
11736,mammals,0
11737,birds,0
11737,mammals,0
11738,birds,0
11738,mammals,0
11739,birds,0
11739,mammals,0
11740,birds,0
11740,mammals,0
11741,birds,0
11741,mammals,0
11742,birds,0
11742,mammals,0
11743,birds,0
11743,mammals,0
11744,birds,0
11744,mammals,0
11745,birds,0
11745,mammals,0
11746,birds,0
11746,mammals,0
11747,birds,0
11747,mammals,0
11756,birds,0
11756,mammals,0
11758,mammals,0
11759,mammals,0
11760,mammals,0
11761,mammals,0
11762,mammals,0
11763,mammals,0
11764,mammals,0
11765,mammals,0
11766,mammals,0
